nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPullRequests,releases,totalIssues,closedIssues,collectedAt,stargazerCount
shadcn-ui/ui,2023-01-04T12:43:27Z,2026-08-27T18:16:13Z,TypeScript,1460,118,4258,3240,2026-08-27T18:41:57.584741736Z,122297
rustdesk/rustdesk,2020-09-28T15:36:08Z,2026-08-27T18:17:37Z,Rust,4232,39,4327,4244,2026-08-27T18:41:57.584741736Z,121978
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,2026-08-27T18:15:23Z,Python,146,41,178,135,2026-08-27T18:41:57.584741736Z,121819
nodejs/node,2014-11-26T19:57:11Z,2026-08-27T17:15:12Z,JavaScript,13352,515,20813,20177,2026-08-27T18:41:57.584741736Z,119645
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2026-08-27T18:21:45Z,,41,0,0,0,2026-08-27T18:41:57.584741736Z,119181
openai/codex,2025-04-13T05:37:54Z,2026-08-27T18:12:59Z,Rust,10039,1000,24620,10676,2026-08-27T18:41:57.584741736Z,119163
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2026-08-27T18:16:12Z,Jupyter Notebook,601,0,244,244,2026-08-27T18:41:57.584741736Z,118660
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2026-08-27T17:43:35Z,,300,3,0,0,2026-08-27T18:41:57.584741736Z,118536
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,2026-08-27T18:21:38Z,Python,233,18,788,782,2026-08-27T18:41:57.584741736Z,117261
rust-lang/rust,2010-06-16T20:39:03Z,2026-08-27T17:41:40Z,Rust,73858,154,63671,52401,2026-08-27T18:41:57.584741736Z,116289
godotengine/godot,2014-01-04T16:05:36Z,2026-08-27T18:21:48Z,C++,43502,73,63467,50044,2026-08-27T18:41:57.584741736Z,116241
mrdoob/three.js,2010-03-23T18:58:01Z,2026-08-27T16:40:59Z,JavaScript,16052,177,13757,13507,2026-08-27T18:41:57.584741736Z,114851
2dust/v2rayN,2019-07-30T03:47:24Z,2026-08-27T17:42:49Z,C#,619,334,7159,7151,2026-08-27T18:41:57.584741736Z,114797
DietrichGebert/ponytail,2026-06-12T00:52:37Z,2026-08-27T18:21:10Z,JavaScript,174,15,280,211,2026-08-27T18:41:57.584741736Z,113814
d3/d3,2010-09-27T17:22:42Z,2026-08-27T17:39:45Z,Shell,495,194,2247,2242,2026-08-27T18:41:57.584741736Z,113569
immich-app/immich,2022-02-03T15:56:27Z,2026-08-27T18:20:56Z,TypeScript,10117,305,9200,8716,2026-08-27T18:41:57.584741736Z,112803
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2026-08-27T17:40:30Z,Swift,1252,15,565,405,2026-08-27T18:41:57.584741736Z,111894
Graphify-Labs/graphify,2026-04-03T15:49:07Z,2026-08-27T18:22:43Z,Python,135,196,1493,957,2026-08-27T18:41:57.584741736Z,111525
browser-use/browser-use,2024-10-31T16:00:56Z,2026-08-27T18:22:17Z,Python,1902,135,1614,1502,2026-08-27T18:41:57.584741736Z,111425
VoltAgent/awesome-design-md,2026-03-31T16:37:01Z,2026-08-27T18:20:51Z,,6,0,385,78,2026-08-27T18:41:57.584741736Z,110847
microsoft/TypeScript,2014-06-17T15:28:39Z,2026-08-27T17:22:07Z,Go,14941,218,43430,38317,2026-08-27T18:41:57.584741736Z,110736
tauri-apps/tauri,2019-07-13T09:09:37Z,2026-08-27T18:18:13Z,Rust,5679,0,6429,5136,2026-08-27T18:41:57.584741736Z,110602
axios/axios,2014-08-18T22:30:27Z,2026-08-27T11:25:26Z,JavaScript,1487,124,5058,5011,2026-08-27T18:41:57.584741736Z,109193
